vector_size_exponent,vector_size,repetition,elapsed_time_ms
11,2048,1,0.364
11,2048,2,0.353
11,2048,3,0.35
11,2048,4,0.346
11,2048,5,0.35
11,2048,6,0.341
11,2048,7,0.344
11,2048,8,0.345
11,2048,9,0.344
11,2048,10,0.343
12,4096,1,0.802
12,4096,2,0.8
12,4096,3,0.796
12,4096,4,0.792
12,4096,5,0.797
12,4096,6,0.798
12,4096,7,0.795
12,4096,8,0.79
12,4096,9,0.798
12,4096,10,0.787
13,8192,1,1.831
13,8192,2,1.835
13,8192,3,1.83
13,8192,4,1.833
13,8192,5,1.84
13,8192,6,1.841
13,8192,7,1.829
13,8192,8,1.838
13,8192,9,1.836
13,8192,10,1.826
14,16384,1,4.127
14,16384,2,4.114
14,16384,3,4.11
14,16384,4,4.104
14,16384,5,4.117
14,16384,6,4.102
14,16384,7,4.118
14,16384,8,4.121
14,16384,9,4.119
14,16384,10,4.12
15,32768,1,9.173
15,32768,2,9.147
15,32768,3,9.222
15,32768,4,9.17
15,32768,5,9.167
15,32768,6,9.203
15,32768,7,9.187
15,32768,8,9.162
15,32768,9,9.178
15,32768,10,9.167
16,65536,1,20.356
16,65536,2,20.317
16,65536,3,20.318
16,65536,4,20.276
16,65536,5,21.011
16,65536,6,21.054
16,65536,7,20.336
16,65536,8,20.334
16,65536,9,20.337
16,65536,10,20.345
17,131072,1,44.692
17,131072,2,44.617
17,131072,3,44.655
17,131072,4,44.73
17,131072,5,45.339
17,131072,6,44.801
17,131072,7,44.693
17,131072,8,44.717
17,131072,9,44.802
17,131072,10,44.743
18,262144,1,98.597
18,262144,2,97.928
18,262144,3,98.036
18,262144,4,98.169
18,262144,5,98.186
18,262144,6,97.955
18,262144,7,97.909
18,262144,8,97.872
18,262144,9,98.038
18,262144,10,98.071
19,524288,1,214.379
19,524288,2,214.512
19,524288,3,215.105
19,524288,4,214.979
19,524288,5,214.433
19,524288,6,214.958
19,524288,7,214.42
19,524288,8,214.277
19,524288,9,214.338
19,524288,10,214.472
20,1048576,1,468.113
20,1048576,2,466.786
20,1048576,3,466.898
20,1048576,4,466.379
20,1048576,5,466.726
20,1048576,6,466.308
20,1048576,7,466.83
20,1048576,8,466.437
20,1048576,9,466.441
20,1048576,10,467.192
21,2097152,1,1013.12
21,2097152,2,1011.55
21,2097152,3,1012.62
21,2097152,4,1012.22
21,2097152,5,1012.16
21,2097152,6,1012.37
21,2097152,7,1013.46
21,2097152,8,1012.85
21,2097152,9,1014.57
21,2097152,10,1010.58
22,4194304,1,2207.06
22,4194304,2,2203.71
22,4194304,3,2201.15
22,4194304,4,2200.52
22,4194304,5,2201.29
22,4194304,6,2200.52
22,4194304,7,2201.26
22,4194304,8,2201.84
22,4194304,9,2203.39
22,4194304,10,2201.45
23,8388608,1,4765.64
23,8388608,2,4766.67
23,8388608,3,4768.28
23,8388608,4,4766.66
23,8388608,5,4768.62
23,8388608,6,4765.94
23,8388608,7,4767.39
23,8388608,8,4768.33
23,8388608,9,4767.08
23,8388608,10,4767.73
