vector_size_exponent,vector_size,repetition,elapsed_time_ms
11,2048,1,0.348
11,2048,2,0.343
11,2048,3,0.34
11,2048,4,0.336
11,2048,5,0.334
11,2048,6,0.335
11,2048,7,0.333
11,2048,8,0.332
11,2048,9,0.336
11,2048,10,0.331
12,4096,1,0.774
12,4096,2,0.773
12,4096,3,0.78
12,4096,4,0.777
12,4096,5,0.777
12,4096,6,0.777
12,4096,7,0.775
12,4096,8,0.774
12,4096,9,0.774
12,4096,10,0.775
13,8192,1,1.769
13,8192,2,1.766
13,8192,3,1.771
13,8192,4,1.775
13,8192,5,1.77
13,8192,6,1.763
13,8192,7,1.762
13,8192,8,1.764
13,8192,9,1.776
13,8192,10,1.776
14,16384,1,3.996
14,16384,2,3.992
14,16384,3,3.995
14,16384,4,3.991
14,16384,5,3.999
14,16384,6,3.993
14,16384,7,3.997
14,16384,8,3.994
14,16384,9,3.998
14,16384,10,3.995
15,32768,1,8.92
15,32768,2,9.385
15,32768,3,9.176
15,32768,4,9.369
15,32768,5,8.918
15,32768,6,8.912
15,32768,7,8.918
15,32768,8,8.923
15,32768,9,8.919
15,32768,10,8.924
16,65536,1,20.362
16,65536,2,19.813
16,65536,3,19.791
16,65536,4,19.798
16,65536,5,19.832
16,65536,6,19.802
16,65536,7,19.8
16,65536,8,19.813
16,65536,9,19.816
16,65536,10,19.812
17,131072,1,43.96
17,131072,2,44.91
17,131072,3,44.252
17,131072,4,44.316
17,131072,5,44.139
17,131072,6,43.947
17,131072,7,43.763
17,131072,8,44.075
17,131072,9,44.065
17,131072,10,44.037
18,262144,1,96.825
18,262144,2,97.132
18,262144,3,96.621
18,262144,4,96.63
18,262144,5,95.963
18,262144,6,96.653
18,262144,7,97.11
18,262144,8,97.163
18,262144,9,95.968
18,262144,10,96.091
19,524288,1,210.201
19,524288,2,212.426
19,524288,3,210.066
19,524288,4,211.488
19,524288,5,211.713
19,524288,6,210.029
19,524288,7,210.964
19,524288,8,211.237
19,524288,9,210.403
19,524288,10,211.649
20,1048576,1,459.261
20,1048576,2,459.526
20,1048576,3,461.082
20,1048576,4,458.136
20,1048576,5,459.287
20,1048576,6,459.27
20,1048576,7,459.888
20,1048576,8,458.09
20,1048576,9,461.06
20,1048576,10,458.813
21,2097152,1,999.221
21,2097152,2,999.66
21,2097152,3,994.124
21,2097152,4,996.321
21,2097152,5,995.569
21,2097152,6,993.489
21,2097152,7,997.12
21,2097152,8,994.461
21,2097152,9,994.875
21,2097152,10,993.368
22,4194304,1,2171.68
22,4194304,2,2170.49
22,4194304,3,2168.95
22,4194304,4,2171.93
22,4194304,5,2173.01
22,4194304,6,2175.64
22,4194304,7,2168.77
22,4194304,8,2168.86
22,4194304,9,2168.49
22,4194304,10,2168.4
23,8388608,1,4698.61
23,8388608,2,4682.73
23,8388608,3,4690.43
23,8388608,4,4698.46
23,8388608,5,4702.34
23,8388608,6,4697
23,8388608,7,4696.42
23,8388608,8,4699.91
23,8388608,9,4696.57
23,8388608,10,4698.96
