vector_size_exponent,vector_size,repetition,elapsed_time_ms
11,2048,1,0.353
11,2048,2,0.348
11,2048,3,0.34
11,2048,4,0.338
11,2048,5,0.339
11,2048,6,0.334
11,2048,7,0.334
11,2048,8,0.334
11,2048,9,0.333
11,2048,10,0.332
12,4096,1,0.778
12,4096,2,0.774
12,4096,3,0.778
12,4096,4,0.776
12,4096,5,0.773
12,4096,6,0.772
12,4096,7,0.773
12,4096,8,0.775
12,4096,9,0.773
12,4096,10,0.773
13,8192,1,1.77
13,8192,2,1.766
13,8192,3,1.774
13,8192,4,1.768
13,8192,5,1.777
13,8192,6,1.778
13,8192,7,1.784
13,8192,8,1.781
13,8192,9,1.769
13,8192,10,1.772
14,16384,1,4.011
14,16384,2,4.018
14,16384,3,4.018
14,16384,4,4.017
14,16384,5,4.019
14,16384,6,4.017
14,16384,7,4.019
14,16384,8,4.017
14,16384,9,4.015
14,16384,10,4.016
15,32768,1,8.949
15,32768,2,9.238
15,32768,3,9.3
15,32768,4,8.946
15,32768,5,8.95
15,32768,6,8.958
15,32768,7,8.952
15,32768,8,8.955
15,32768,9,8.956
15,32768,10,8.954
16,65536,1,19.809
16,65536,2,19.811
16,65536,3,19.818
16,65536,4,19.813
16,65536,5,19.836
16,65536,6,19.857
16,65536,7,19.853
16,65536,8,19.917
16,65536,9,19.788
16,65536,10,19.798
17,131072,1,43.845
17,131072,2,43.701
17,131072,3,43.662
17,131072,4,43.851
17,131072,5,43.666
17,131072,6,43.683
17,131072,7,43.673
17,131072,8,43.686
17,131072,9,43.646
17,131072,10,43.669
18,262144,1,95.803
18,262144,2,96.065
18,262144,3,95.798
18,262144,4,95.753
18,262144,5,95.826
18,262144,6,96.001
18,262144,7,96.119
18,262144,8,95.762
18,262144,9,95.76
18,262144,10,95.758
19,524288,1,210.327
19,524288,2,210.473
19,524288,3,209.773
19,524288,4,209.894
19,524288,5,209.416
19,524288,6,209.315
19,524288,7,209.475
19,524288,8,211.088
19,524288,9,210.005
19,524288,10,210.18
20,1048576,1,456.84
20,1048576,2,455.787
20,1048576,3,456.592
20,1048576,4,456.397
20,1048576,5,456.762
20,1048576,6,457.041
20,1048576,7,455.446
20,1048576,8,457.474
20,1048576,9,457.223
20,1048576,10,456.225
21,2097152,1,988.338
21,2097152,2,992.639
21,2097152,3,999.575
21,2097152,4,1000.13
21,2097152,5,1001.82
21,2097152,6,1000.71
21,2097152,7,999.478
21,2097152,8,999.115
21,2097152,9,998.509
21,2097152,10,998.706
22,4194304,1,2176.91
22,4194304,2,2172.64
22,4194304,3,2170.64
22,4194304,4,2171.82
22,4194304,5,2168.38
22,4194304,6,2164.28
22,4194304,7,2162.98
22,4194304,8,2158.57
22,4194304,9,2161.13
22,4194304,10,2157.88
23,8388608,1,4670.3
23,8388608,2,4665.05
23,8388608,3,4665.96
23,8388608,4,4666.79
23,8388608,5,4672.97
23,8388608,6,4662.53
23,8388608,7,4665.35
23,8388608,8,4664.35
23,8388608,9,4665.38
23,8388608,10,4670.32
